period_days,wideband_delta_chi2,narrowband_delta_chi2
1.000000000000000000e+02,4.587444351586180247e+00,2.237237975614265295e+00
1.000499999999999972e+02,4.652565347713178312e+00,2.293646434601161577e+00
1.000999999999999943e+02,4.719822584410581001e+00,2.353986702603239500e+00
1.001500000000000057e+02,4.788990687576371919e+00,2.418076013142411274e+00
1.002000000000000028e+02,4.859850211847063228e+00,2.485715705446856827e+00
1.002500000000000000e+02,4.932190834734731411e+00,2.556692728567643513e+00
1.002999999999999972e+02,5.005814243834412203e+00,2.630781256290319892e+00
1.003499999999999943e+02,5.080536693787655267e+00,2.707744412750335616e+00
1.004000000000000057e+02,5.156191211648990524e+00,2.787336104706002349e+00
1.004500000000000028e+02,5.232629430987094210e+00,2.869302951904038501e+00
1.005000000000000000e+02,5.309723036760818360e+00,2.953386302102531946e+00
1.005499999999999972e+02,5.387364805033274529e+00,3.039324312335621503e+00
1.005999999999999943e+02,5.465469224187117447e+00,3.126854073168444881e+00
1.006500000000000057e+02,5.543972687697639401e+00,3.215713748267370775e+00
1.007000000000000028e+02,5.622833252861846987e+00,3.305644697851422009e+00
1.007500000000000000e+02,5.702029965253339050e+00,3.396393551737907135e+00
1.007999999999999972e+02,5.781561755067916586e+00,3.487714195932636763e+00
1.008499999999999943e+02,5.861445918855133996e+00,3.579369636206311878e+00
1.009000000000000057e+02,5.941716208212969086e+00,3.671133702911272945e+00
1.009500000000000028e+02,6.022420555592504776e+00,3.762792563457593165e+00
1.010000000000000000e+02,6.103618476083575217e+00,3.854146012323500070e+00
1.010499999999999972e+02,6.185378192545234022e+00,3.945008513097270519e+00
1.010999999999999943e+02,6.267773539286029205e+00,4.035209972658670985e+00
1.011500000000000057e+02,6.350880706276003096e+00,4.124596233962064318e+00
1.012000000000000028e+02,6.434774891188352441e+00,4.213029280717033309e+00
1.012500000000000000e+02,6.519526930088359151e+00,4.300387154282272917e+00
1.012999999999999972e+02,6.605199979055374371e+00,4.386563590002417357e+00
1.013499999999999943e+02,6.691846318282963502e+00,4.471467386758286366e+00
1.014000000000000057e+02,6.779504347213821447e+00,4.555021529420127280e+00
1.014500000000000028e+02,6.868195834108670184e+00,4.637162088998329601e+00
1.015000000000000000e+02,6.957923476318537581e+00,4.717836929435899052e+00
1.015499999999999972e+02,7.048668818724116214e+00,4.797004253081790459e+00
1.015999999999999943e+02,7.140390567711149217e+00,4.874631018914217684e+00
1.016500000000000057e+02,7.233023327103276223e+00,4.950691268548602864e+00
1.017000000000000028e+02,7.326476771145383537e+00,5.025164395049461774e+00
1.017500000000000000e+02,7.420635258387931366e+00,5.098033388672821964e+00
1.017999999999999972e+02,7.515357879606773039e+00,5.169283092016438985e+00
1.018499999999999943e+02,7.610478923085678638e+00,5.238898494815822815e+00
1.019000000000000057e+02,7.705808732009093553e+00,5.306863095929737817e+00
1.019500000000000028e+02,7.801134921582987047e+00,5.373157357076296492e+00
1.020000000000000000e+02,7.896223917969972916e+00,5.437757269736575694e+00
1.020499999999999972e+02,7.990822777233711705e+00,5.500633053470910028e+00
1.020999999999999943e+02,8.084661240215407219e+00,5.561748000789341617e+00
1.021500000000000057e+02,8.177453978505091925e+00,5.621057480767909453e+00
1.022000000000000028e+02,8.268902987268027971e+00,5.678508110860269298e+00
1.022500000000000000e+02,8.358700082443764501e+00,5.734037103859476403e+00
1.022999999999999972e+02,8.446529462528658883e+00,5.787571794725897334e+00
1.023499999999999943e+02,8.532070298547280274e+00,5.839029350022894249e+00
1.024000000000000057e+02,8.614999319684901735e+00,5.888316660958571980e+00
1.024500000000000028e+02,8.694993366172106164e+00,5.935330419507163668e+00
1.025000000000000000e+02,8.771731885185714006e+00,5.979957375724588964e+00
1.025499999999999972e+02,8.844899349590418680e+00,6.022074773147355842e+00
1.025999999999999943e+02,8.914187583147926475e+00,6.061550958016666435e+00
1.026500000000000057e+02,8.979297979258504370e+00,6.098246156964277631e+00
