target,toa_count,span_days,observing_days,site_days,site_days_without_prior_match_within_one_day,exact_site_mjd_frequency_matches,selection_exclusions
J0030+0451,3362,5503.854803311508,916,959,2,722,[]
J0340+4130,3003,614.2772727908635,47,47,0,0,['SPAN_LT_1200_DAYS']
J0645+5158,2891,882.3681466660871,56,56,0,0,['SPAN_LT_1200_DAYS']
J0711-6830,507,6245.6718524744365,323,323,69,0,[]
J0931-1902,712,235.410665689613,19,19,0,0,"['SPAN_LT_1200_DAYS', 'OBSERVING_DAYS_LT_40']"
J1721-2457,150,4661.163638780621,150,150,150,0,[]
J1730-2304,646,7409.032653334232,487,504,85,152,[]
J1744-1134,9834,7261.996353446826,964,1066,100,411,[]
J1747-4036,2771,609.3290481623951,47,47,0,0,['SPAN_LT_1200_DAYS']
J1801-1417,126,2576.091010515323,126,126,7,65,[]
J1824-2452A,276,2063.3077966765813,147,147,21,0,[]
J1832-0836,1131,231.40570157338948,21,21,0,0,"['SPAN_LT_1200_DAYS', 'OBSERVING_DAYS_LT_40']"
J1843-1113,224,3672.924306562528,219,224,7,121,[]
J1911+1347,140,2731.79203093851,138,139,4,71,[]
J1923+2515,920,802.7712224818208,24,24,4,0,"['SPAN_LT_1200_DAYS', 'OBSERVING_DAYS_LT_40']"
J1939+2134,13659,10753.426185019192,2388,2565,2175,0,[]
J1944+0907,1696,2086.306276286021,48,48,22,0,[]
J2010-1323,8057,2695.6088565077907,465,496,395,0,[]
J2124-3358,1182,7305.327971033246,905,956,164,417,[]
J2322+2057,229,2883.3630984691345,221,227,15,130,[]
