dataset_id,target,variant,preferred_inventory_variant,assessment,toas_in_model_window,observing_days,span_days,frequency_min_mhz,frequency_max_mhz,median_toa_uncertainty_us,in_master,previously_searched_by_recherche,screen_exclusion_reasons,preparation_prerequisites,par_sha256,tim_sha256
extended_pulsars/J0835-4510,J0835-4510,extended_pulsars,True,EXCLUDED_CURRENT_SCOPE,1458,625,2025.4543749486145,828.67,842.659,5.101,False,False,published_glitch_model,utmost_adapter_and_released_clock_binding; global_white_noise_translation; source_timing_and_phase_connection_verification; target_calibration_and_noise_adequacy; single_band_dispersion_noise_policy,4389de3cfdde47f623b3dee333aa4b81e9859607cc7238c455eec55709a8f61a,57845324a5f915fccc4b484eefb9ee0332c0edd96e80f7af90b5e3d34ec64b73
extended_pulsars/J1257-1027,J1257-1027,extended_pulsars,True,EXCLUDED_CURRENT_SCOPE,71,68,1424.0460660826357,834.763977,835.622986,391.301,True,False,published_glitch_model,utmost_adapter_and_released_clock_binding; global_white_noise_translation; source_timing_and_phase_connection_verification; target_calibration_and_noise_adequacy; single_band_dispersion_noise_policy,19997adeb3cf1f1529c0ba14f9aec58118233f4c9800582a235055b4d3739578,08c2d81697fc0a1d83c5fed87e981b7a3216fe317993afdbddefe43197a09a07
extended_pulsars/J1452-6036,J1452-6036,extended_pulsars,True,EXCLUDED_CURRENT_SCOPE,287,231,734.9845971887415,834.315002,835.642029,1370.109,True,False,published_glitch_model; span_below_1200_days,utmost_adapter_and_released_clock_binding; global_white_noise_translation; source_timing_and_phase_connection_verification; target_calibration_and_noise_adequacy; single_band_dispersion_noise_policy,0e151c734da0e656aba39d7a8dbf61dfed57d73bea5740583fcdd47035e143da,602de5c689b3d7d7e7387e7b22ef1010d485092fca7c23057776a8f770c378a4
extended_pulsars/J1703-4851,J1703-4851,extended_pulsars,True,EXCLUDED_CURRENT_SCOPE,62,58,1444.0134420737295,834.335022,835.682983,651.2925,True,True,published_glitch_model,utmost_adapter_and_released_clock_binding; global_white_noise_translation; source_timing_and_phase_connection_verification; target_calibration_and_noise_adequacy; single_band_dispersion_noise_policy,ac65c7e2f6e0ca66806f9e597e042b578f107703ea853de7a2c8db53ed4f36f7,0697ba688add0f96b5dc113af2837b086fc08f17eeb3d7aee74830ab19afd7e0
pulsars/J0030+0451,J0030+0451,pulsars,True,EXCLUDED_CURRENT_SCOPE,58,55,369.9858493536961,835.349976,835.567017,38.414500000000004,True,True,span_below_1200_days,utmost_adapter_and_released_clock_binding; global_white_noise_translation; source_timing_and_phase_connection_verification; target_calibration_and_noise_adequacy; single_band_dispersion_noise_policy,5cdea97b2d98cd1232003276ba82179bd22bd449b33b474a6807f1bff6e19e55,79482c1b70e06dda8d85c750e425f03d6a0845ee701b27e318b9318696719ca4
pulsars/J0134-2937,J0134-2937,pulsars,True,CONDITIONAL_PREPARATION_CANDIDATE,198,189,1217.6282614498045,834.322998,835.616028,78.02099999999999,True,False,,utmost_adapter_and_released_clock_binding; global_white_noise_translation; source_timing_and_phase_connection_verification; target_calibration_and_noise_adequacy; single_band_dispersion_noise_policy,6c46eb60309931dc87ef2fc512f53679aa25f201023b87b9d22b9f17ada860e0,ebd8765d782d10a132ca58dd4dda47a8e3b1b1db7f0918d306719398f556efba
pulsars/J0151-0635,J0151-0635,pulsars,True,CONDITIONAL_PREPARATION_CANDIDATE,196,194,1333.287497092761,834.703979,840.232971,1024.827,True,False,,utmost_adapter_and_released_clock_binding; global_white_noise_translation; source_timing_and_phase_connection_verification; target_calibration_and_noise_adequacy; single_band_dispersion_noise_policy,d3f379f78de2dea6ab96359401f81c1c58d6358dd17c7afd5cf80595b3d116f6,74dbe154922fb3e7830ddff1c95f7c5a1b661fda1ce55a57905bf5655956c378
pulsars/J0152-1637,J0152-1637,pulsars,True,EXCLUDED_CURRENT_SCOPE,119,116,1172.8461495958095,834.674011,835.59198,357.164,True,False,span_below_1200_days,utmost_adapter_and_released_clock_binding; global_white_noise_translation; source_timing_and_phase_connection_verification; target_calibration_and_noise_adequacy; single_band_dispersion_noise_policy,2f6d75e16eb4097a38b5c9d6da2f26e0d61a9c5b6306cce4c77e0e1ac40191d3,a16233ba3f110ea1835bf4688de57c2758a4ac5b5fdb55bc2573f4814f04de6d
pulsars/J0206-4028,J0206-4028,pulsars,True,EXCLUDED_CURRENT_SCOPE,131,115,1193.6960241740844,834.617981,835.606995,532.546,True,False,span_below_1200_days,utmost_adapter_and_released_clock_binding; global_white_noise_translation; source_timing_and_phase_connection_verification; target_calibration_and_noise_adequacy; single_band_dispersion_noise_policy,95e41d42b8cf42254454469c900ea4166b0d76927849649d023f14a5c1ee330b,7945833e4e8f4a3c6d5b24ed5e3577780220a2226a686a8a3b26103d671d806d
pulsars/J0255-5304,J0255-5304,pulsars,True,CONDITIONAL_PREPARATION_CANDIDATE,270,257,1336.5314548471276,834.028992,840.234009,109.0645,True,False,,utmost_adapter_and_released_clock_binding; global_white_noise_translation; source_timing_and_phase_connection_verification; target_calibration_and_noise_adequacy; single_band_dispersion_noise_policy,776216c70bd6b3589eba5114af2a1b5378415a46b93d1b741c3dc0cd67cdb2cb,1b36a3cedb7724911bde2fe109b272cb8b6030383dfde475b98647940a05cea5
