target,raw_toas,raw_days,raw_span_days,snr_gt7_toas_unvetted,models,ew_overlap,combined_union_span_days,search_ready,disposition
J0034-0721,428,428,784.851632563399,155,1,False,,False,NO_COMPATIBLE_BASELINE
J0134-2937,437,437,784.851767167855,123,1,True,2834.205396784207,False,COMBINED_TIMING_PACKAGE_REQUIRED
J0151-0635,208,207,776.873266165861,33,1,True,2952.852935493616,False,COMBINED_TIMING_PACKAGE_REQUIRED
J0152-1637,196,196,783.854477853704,44,1,True,2831.307317353017,False,COMBINED_TIMING_PACKAGE_REQUIRED
J0206-4028,367,367,776.872942929704,48,1,True,2827.2261099946195,False,COMBINED_TIMING_PACKAGE_REQUIRED
J0255-5304,381,380,813.772789078264,162,1,True,2954.106223831494,False,COMBINED_TIMING_PACKAGE_REQUIRED
J0304+1932,422,421,813.770906403177,61,1,False,,False,NO_COMPATIBLE_BASELINE
J0401-7608,163,163,509.606311578819,32,1,True,2566.0148978557386,False,COMBINED_TIMING_PACKAGE_REQUIRED
J0437-4715,51,34,744.879398088243,0,1,True,2135.2394456347242,False,COMBINED_TIMING_PACKAGE_REQUIRED
J0452-1759,403,402,754.93314242072,372,1,True,2951.7808719302257,False,COMBINED_TIMING_PACKAGE_REQUIRED
J0534+2200,6,6,795.819472868242,0,1,False,,False,NO_COMPATIBLE_BASELINE
J0536-7543,231,231,752.940425414785,150,1,True,2949.8624151513513,False,COMBINED_TIMING_PACKAGE_REQUIRED
J0543+2329,399,399,777.86908787,51,1,False,,False,NO_COMPATIBLE_BASELINE
J0601-0527,347,347,721.025131996052,24,1,True,2940.919055516577,False,COMBINED_TIMING_PACKAGE_REQUIRED
J0629+2415,190,190,751.940122649527,22,1,False,,False,NO_COMPATIBLE_BASELINE
J0630-2834,217,217,756.928300675244,203,1,True,3018.7368723387526,False,COMBINED_TIMING_PACKAGE_REQUIRED
J0729-1836,140,140,725.014253874926,10,1,True,2837.294024650723,False,COMBINED_TIMING_PACKAGE_REQUIRED
J0737-3039A,166,165,778.868395233468,1,1,True,2951.9743613443948,False,COMBINED_TIMING_PACKAGE_REQUIRED
J0738-4042,64,64,808.786228365553,62,1,True,3021.7269237442033,False,COMBINED_TIMING_PACKAGE_REQUIRED
J0742-2822,44,44,601.353441544701,41,1,True,2944.9546452407008,False,COMBINED_TIMING_PACKAGE_REQUIRED
J0758-1528,409,408,753.936376663008,52,1,True,2830.1207795714695,False,COMBINED_TIMING_PACKAGE_REQUIRED
J0809-4753,427,426,753.935027588041,358,1,True,2830.115481338659,False,COMBINED_TIMING_PACKAGE_REQUIRED
J0820-1350,167,167,754.933572765652,151,1,True,2986.7566620429498,False,COMBINED_TIMING_PACKAGE_REQUIRED
J0823+0159,155,154,749.94586351756,58,1,False,,False,NO_COMPATIBLE_BASELINE
J0828-3417,115,115,754.932097297128,23,1,False,,False,NO_COMPATIBLE_BASELINE
J0835-4510,11,10,354.127342363581,1,1,True,3014.6351715746814,False,COMBINED_TIMING_PACKAGE_REQUIRED
J0837+0610,123,123,749.945814797893,58,1,True,2951.903657352409,False,COMBINED_TIMING_PACKAGE_REQUIRED
J0837-4135,18,18,682.132394620415,16,1,True,3015.7450849050233,False,COMBINED_TIMING_PACKAGE_REQUIRED
J0846-3533,420,419,755.930908091309,241,1,True,2834.2473148458917,False,COMBINED_TIMING_PACKAGE_REQUIRED
J0855-3331,369,369,720.02789924863,16,1,True,2827.2629321768227,False,COMBINED_TIMING_PACKAGE_REQUIRED
J0905-5127,103,103,719.030644503481,2,1,False,,False,NO_COMPATIBLE_BASELINE
J0907-5157,132,132,756.928479372364,123,1,True,2961.8599593608014,False,COMBINED_TIMING_PACKAGE_REQUIRED
J0908-1739,103,103,747.952651871758,37,1,True,2830.4220558748466,False,COMBINED_TIMING_PACKAGE_REQUIRED
J0908-4913,6,6,753.936563397547,3,1,True,2908.986633612016,False,COMBINED_TIMING_PACKAGE_REQUIRED
J0922+0638,419,418,756.927674439127,241,1,True,2794.4580269319144,False,COMBINED_TIMING_PACKAGE_REQUIRED
J0934-5249,428,427,754.93240289423,191,1,True,2834.2026379137315,False,COMBINED_TIMING_PACKAGE_REQUIRED
J0942-5552,243,242,797.816591882987,233,1,True,3017.7372508611047,False,COMBINED_TIMING_PACKAGE_REQUIRED
J0944-1354,187,187,754.931994179007,94,1,True,2778.4320954906043,False,COMBINED_TIMING_PACKAGE_REQUIRED
J0953+0755,48,48,756.926505455911,47,1,True,2989.726085272604,False,COMBINED_TIMING_PACKAGE_REQUIRED
J0955-5304,102,101,754.932272873428,30,1,True,2834.193475664009,False,COMBINED_TIMING_PACKAGE_REQUIRED
J1001-5507,151,151,776.873997109625,149,1,True,3015.7413599740403,False,COMBINED_TIMING_PACKAGE_REQUIRED
J1001-5559,90,90,796.819248720362,2,1,False,,False,NO_COMPATIBLE_BASELINE
J1013-5934,214,213,749.94763660188,3,1,True,2833.1844300838143,False,COMBINED_TIMING_PACKAGE_REQUIRED
J1017-5621,224,224,755.931141472512,156,1,True,2834.172478375314,False,COMBINED_TIMING_PACKAGE_REQUIRED
J1022+1001,303,302,754.933395985077,7,1,True,2900.0659862030293,False,COMBINED_TIMING_PACKAGE_REQUIRED
J1047-6709,207,206,784.852051829714,3,1,True,2560.1846382400918,False,COMBINED_TIMING_PACKAGE_REQUIRED
J1048-5832,250,250,777.870969441631,182,1,True,2933.827803881222,False,COMBINED_TIMING_PACKAGE_REQUIRED
J1056-6258,202,202,796.819085336732,197,1,True,3016.7412021795044,False,COMBINED_TIMING_PACKAGE_REQUIRED
J1057-5226,103,103,754.933427145468,64,1,True,2990.828880198669,False,COMBINED_TIMING_PACKAGE_REQUIRED
J1059-5742,119,119,661.189921209256,67,1,True,2833.1107528600087,False,COMBINED_TIMING_PACKAGE_REQUIRED
J1114-6100,27,27,102.719223967944,0,1,True,1927.560156191435,False,COMBINED_TIMING_PACKAGE_REQUIRED
J1116-4122,418,418,756.926724712698,267,1,True,2961.8823768588777,False,COMBINED_TIMING_PACKAGE_REQUIRED
J1136+1551,154,154,756.928201330885,114,1,True,2990.811594908044,False,COMBINED_TIMING_PACKAGE_REQUIRED
J1136-5525,168,168,748.950009473758,128,1,True,2959.881434453552,False,COMBINED_TIMING_PACKAGE_REQUIRED
J1141-3322,127,127,721.025194190013,6,1,True,2812.282141485952,False,COMBINED_TIMING_PACKAGE_REQUIRED
J1141-6545,83,83,655.20574291915,70,1,True,2921.0319080534005,False,COMBINED_TIMING_PACKAGE_REQUIRED
J1157-6224,430,429,798.813435316301,411,1,True,2964.899886663436,False,COMBINED_TIMING_PACKAGE_REQUIRED
J1202-5820,409,409,757.925477833328,310,1,True,2951.823795071497,False,COMBINED_TIMING_PACKAGE_REQUIRED
J1210-5559,285,282,757.924200139125,170,1,True,2951.8525325573287,False,COMBINED_TIMING_PACKAGE_REQUIRED
J1224-6407,234,234,755.929418365981,217,1,True,2963.8941919222866,False,COMBINED_TIMING_PACKAGE_REQUIRED
J1239+2453,226,224,748.950236333595,89,1,False,,False,NO_COMPATIBLE_BASELINE
J1243-6423,18,18,796.818860935167,7,1,True,2988.828172342828,False,COMBINED_TIMING_PACKAGE_REQUIRED
J1253-5820,171,171,749.947236277818,115,1,True,2903.1260390597004,False,COMBINED_TIMING_PACKAGE_REQUIRED
J1257-1027,105,102,756.927986944862,19,1,True,2833.1889996569234,False,COMBINED_TIMING_PACKAGE_REQUIRED
J1306-6617,163,163,748.948643480688,64,1,True,2902.1283731351014,False,COMBINED_TIMING_PACKAGE_REQUIRED
J1326-5859,102,102,753.935990606049,97,1,True,2987.828327372213,False,COMBINED_TIMING_PACKAGE_REQUIRED
J1326-6408,88,86,748.949655773555,52,1,True,2712.486015023312,False,COMBINED_TIMING_PACKAGE_REQUIRED
J1326-6700,81,81,684.126819701148,56,1,True,2957.884175425534,False,COMBINED_TIMING_PACKAGE_REQUIRED
J1327-6222,102,102,797.816038411626,99,1,True,2989.807993577576,False,COMBINED_TIMING_PACKAGE_REQUIRED
J1328-4357,92,92,722.022544011508,64,1,True,2835.152455370562,False,COMBINED_TIMING_PACKAGE_REQUIRED
J1338-6204,62,62,108.701114247765,12,1,True,1934.7138246775219,False,COMBINED_TIMING_PACKAGE_REQUIRED
J1357-62,195,195,748.948101969816,127,1,False,,False,NO_COMPATIBLE_BASELINE
J1359-6038,44,44,482.678726464738,39,1,True,2648.756702538883,False,COMBINED_TIMING_PACKAGE_REQUIRED
J1401-6357,148,148,757.924881665933,139,1,True,2964.881774030789,False,COMBINED_TIMING_PACKAGE_REQUIRED
J1410-7404,435,435,750.942356894282,39,1,False,,False,NO_COMPATIBLE_BASELINE
J1418-3921,386,386,710.068087864186,15,1,True,2904.1109033414405,False,COMBINED_TIMING_PACKAGE_REQUIRED
J1428-5530,272,272,756.927822150593,250,1,True,2963.8872150746733,False,COMBINED_TIMING_PACKAGE_REQUIRED
J1430-6623,253,253,798.813027178179,244,1,True,2990.8321090850777,False,COMBINED_TIMING_PACKAGE_REQUIRED
J1440-6344,397,395,755.930203000698,91,1,False,,False,NO_COMPATIBLE_BASELINE
J1453-6413,3,3,482.678538470044,1,1,True,2674.763585263102,False,COMBINED_TIMING_PACKAGE_REQUIRED
