target,portal_name,aliases,catalogue_identity_resolved,known_binary_or_wide_companion,already_in_master,previous_recherche_search,in_ew_dr1,ew_passed_original_coverage_screen,first_observation_utc,last_observation_utc,portal_span_integer_days,span_days_from_utc,portal_observation_count,verified_toa_count,verified_observing_days,timing_package_verified,standalone_disposition,acquisition_status,combined_ew_ns_status,follow_up_deferred
J0034-0721,J0034-0721,['B0031-07'],True,False,True,False,False,False,2021-05-05T23:39:11+00:00,2023-06-29T20:05:36+00:00,785,784.8516782407407,429,,,False,EXCLUDED_SPAN_BELOW_1200_DAYS,ARRIVAL_TIMES_REQUIRE_PORTAL_LOGIN,NOT_ASSESSED_WITH_COMPLETE_TIMING_INPUTS,False
J0134-2937,J0134-2937,[],True,False,True,True,True,True,2021-05-06T00:39:04+00:00,2023-06-29T21:05:37+00:00,785,784.8517708333334,442,,,False,EXCLUDED_SPAN_BELOW_1200_DAYS,ARRIVAL_TIMES_REQUIRE_PORTAL_LOGIN,NOT_ASSESSED_WITH_COMPLETE_TIMING_INPUTS,False
J0151-0635,J0151-0635,['B0148-06'],True,False,True,True,True,True,2021-05-14T00:24:43+00:00,2023-06-29T21:18:59+00:00,777,776.8710185185186,211,,,False,EXCLUDED_SPAN_BELOW_1200_DAYS,ARRIVAL_TIMES_REQUIRE_PORTAL_LOGIN,NOT_ASSESSED_WITH_COMPLETE_TIMING_INPUTS,False
J0152-1637,J0152-1637,['B0149-16'],True,False,True,False,True,False,2021-05-06T00:56:57+00:00,2023-06-28T21:23:53+00:00,784,783.852037037037,199,,,False,EXCLUDED_SPAN_BELOW_1200_DAYS,ARRIVAL_TIMES_REQUIRE_PORTAL_LOGIN,NOT_ASSESSED_WITH_COMPLETE_TIMING_INPUTS,False
J0206-4028,J0206-4028,['B0203-40'],True,False,True,False,True,False,2021-05-14T00:40:13+00:00,2023-06-29T21:34:34+00:00,777,776.8710763888889,369,,,False,EXCLUDED_SPAN_BELOW_1200_DAYS,ARRIVAL_TIMES_REQUIRE_PORTAL_LOGIN,NOT_ASSESSED_WITH_COMPLETE_TIMING_INPUTS,False
J0255-5304,J0255-5304,['B0254-53'],True,False,True,True,True,True,2021-04-07T03:53:05+00:00,2023-06-29T22:27:00+00:00,814,813.7735532407407,440,,,False,EXCLUDED_SPAN_BELOW_1200_DAYS,ARRIVAL_TIMES_REQUIRE_PORTAL_LOGIN,NOT_ASSESSED_WITH_COMPLETE_TIMING_INPUTS,False
J0304+1932,J0304+1932,['B0301+19'],True,False,True,False,False,False,2021-04-07T04:04:34+00:00,2023-06-29T22:33:57+00:00,814,813.7704050925926,423,,,False,EXCLUDED_SPAN_BELOW_1200_DAYS,ARRIVAL_TIMES_REQUIRE_PORTAL_LOGIN,NOT_ASSESSED_WITH_COMPLETE_TIMING_INPUTS,False
J0401-7608,J0401-7608,['B0403-76'],True,False,True,False,True,False,2021-05-14T02:33:16+00:00,2022-10-05T17:06:16+00:00,510,509.60625,163,,,False,EXCLUDED_SPAN_BELOW_1200_DAYS,ARRIVAL_TIMES_REQUIRE_PORTAL_LOGIN,NOT_ASSESSED_WITH_COMPLETE_TIMING_INPUTS,False
J0437-4715,J0437-4715,[],True,True,True,False,True,False,2021-04-01T05:37:33+00:00,2023-06-29T00:11:58+00:00,819,818.773900462963,497,,,False,EXCLUDED_BINARY,ARRIVAL_TIMES_REQUIRE_PORTAL_LOGIN,NOT_ASSESSED_WITH_COMPLETE_TIMING_INPUTS,False
J0452-1759,J0452-1759,['B0450-18'],True,False,True,True,True,True,2021-06-04T02:03:42+00:00,2023-06-29T00:27:15+00:00,755,754.9330208333333,412,,,False,EXCLUDED_SPAN_BELOW_1200_DAYS,ARRIVAL_TIMES_REQUIRE_PORTAL_LOGIN,NOT_ASSESSED_WITH_COMPLETE_TIMING_INPUTS,False
J0534+2200,J0534+2200,['B0531+21'],True,False,False,False,False,False,2021-04-07T06:31:51+00:00,2023-06-29T01:07:27+00:00,813,812.7747222222222,183,,,False,EXCLUDED_SPAN_BELOW_1200_DAYS,ARRIVAL_TIMES_REQUIRE_PORTAL_LOGIN,NOT_ASSESSED_WITH_COMPLETE_TIMING_INPUTS,False
J0536-7543,J0536-7543,['B0538-75'],True,False,True,True,True,True,2021-06-03T02:48:43+00:00,2023-06-26T01:22:52+00:00,753,752.9403819444444,231,,,False,EXCLUDED_SPAN_BELOW_1200_DAYS,ARRIVAL_TIMES_REQUIRE_PORTAL_LOGIN,NOT_ASSESSED_WITH_COMPLETE_TIMING_INPUTS,False
J0543+2329,J0543+2329,['B0540+23'],True,False,False,False,False,False,2021-05-12T04:26:05+00:00,2023-06-29T01:17:42+00:00,778,777.8691782407408,399,,,False,EXCLUDED_SPAN_BELOW_1200_DAYS,ARRIVAL_TIMES_REQUIRE_PORTAL_LOGIN,NOT_ASSESSED_WITH_COMPLETE_TIMING_INPUTS,False
J0601-0527,J0601-0527,['B0559-05'],True,False,True,True,True,True,2021-07-08T01:00:26+00:00,2023-06-29T01:36:29+00:00,722,721.0250347222222,349,,,False,EXCLUDED_SPAN_BELOW_1200_DAYS,ARRIVAL_TIMES_REQUIRE_PORTAL_LOGIN,NOT_ASSESSED_WITH_COMPLETE_TIMING_INPUTS,False
J0629+2415,J0629+2415,['B0626+24'],True,False,False,False,False,False,2021-06-11T03:12:59+00:00,2023-07-03T01:45:39+00:00,752,751.9393518518518,191,,,False,EXCLUDED_SPAN_BELOW_1200_DAYS,ARRIVAL_TIMES_REQUIRE_PORTAL_LOGIN,NOT_ASSESSED_WITH_COMPLETE_TIMING_INPUTS,False
J0630-2834,J0630-2834,['B0628-28'],True,False,True,True,True,True,2021-06-03T03:44:31+00:00,2023-06-30T02:01:09+00:00,757,756.9282175925925,218,,,False,EXCLUDED_SPAN_BELOW_1200_DAYS,ARRIVAL_TIMES_REQUIRE_PORTAL_LOGIN,NOT_ASSESSED_WITH_COMPLETE_TIMING_INPUTS,False
J0729-1836,J0729-1836,['B0727-18'],True,False,True,False,True,False,2021-07-08T02:27:37+00:00,2023-07-03T02:45:25+00:00,726,725.0123611111111,141,,,False,EXCLUDED_SPAN_BELOW_1200_DAYS,ARRIVAL_TIMES_REQUIRE_PORTAL_LOGIN,NOT_ASSESSED_WITH_COMPLETE_TIMING_INPUTS,False
J0737-3039A,J0737-3039A,[],True,True,True,False,True,False,2021-05-12T06:17:45+00:00,2023-06-30T03:04:29+00:00,779,778.8657870370371,166,,,False,EXCLUDED_BINARY,ARRIVAL_TIMES_REQUIRE_PORTAL_LOGIN,NOT_ASSESSED_WITH_COMPLETE_TIMING_INPUTS,False
J0738-4042,J0738-4042,['B0736-40'],True,False,True,True,True,True,2021-04-15T08:04:48+00:00,2023-07-03T02:56:53+00:00,809,808.7861689814815,152,,,False,EXCLUDED_SPAN_BELOW_1200_DAYS,ARRIVAL_TIMES_REQUIRE_PORTAL_LOGIN,NOT_ASSESSED_WITH_COMPLETE_TIMING_INPUTS,False
J0742-2822,J0742-2822,['B0740-28'],True,False,True,True,True,True,2021-06-03T04:56:19+00:00,2023-07-03T03:03:09+00:00,760,759.921412037037,166,,,False,EXCLUDED_SPAN_BELOW_1200_DAYS,ARRIVAL_TIMES_REQUIRE_PORTAL_LOGIN,NOT_ASSESSED_WITH_COMPLETE_TIMING_INPUTS,False
J0758-1528,J0758-1528,['B0756-15'],True,False,True,False,True,False,2021-06-09T04:48:34+00:00,2023-07-03T03:15:22+00:00,754,753.9352777777777,410,,,False,EXCLUDED_SPAN_BELOW_1200_DAYS,ARRIVAL_TIMES_REQUIRE_PORTAL_LOGIN,NOT_ASSESSED_WITH_COMPLETE_TIMING_INPUTS,False
J0809-4753,J0809-4753,['B0808-47'],True,False,True,False,True,False,2021-06-09T05:01:41+00:00,2023-07-03T03:26:29+00:00,754,753.9338888888889,428,,,False,EXCLUDED_SPAN_BELOW_1200_DAYS,ARRIVAL_TIMES_REQUIRE_PORTAL_LOGIN,NOT_ASSESSED_WITH_COMPLETE_TIMING_INPUTS,False
J0820-1350,J0820-1350,['B0818-13'],True,False,True,True,True,True,2021-06-03T05:34:06+00:00,2023-06-28T03:58:30+00:00,755,754.9336111111111,171,,,False,EXCLUDED_SPAN_BELOW_1200_DAYS,ARRIVAL_TIMES_REQUIRE_PORTAL_LOGIN,NOT_ASSESSED_WITH_COMPLETE_TIMING_INPUTS,False
J0823+0159,J0823+0159,['B0820+02'],True,True,False,False,False,False,2021-06-09T05:15:28+00:00,2023-06-29T03:55:06+00:00,750,749.9441898148148,155,,,False,EXCLUDED_BINARY,ARRIVAL_TIMES_REQUIRE_PORTAL_LOGIN,NOT_ASSESSED_WITH_COMPLETE_TIMING_INPUTS,False
J0828-3417,J0828-3417,['B0826-34'],True,False,False,False,False,False,2021-06-05T05:36:11+00:00,2023-06-30T03:56:55+00:00,755,754.9310648148148,116,,,False,EXCLUDED_SPAN_BELOW_1200_DAYS,ARRIVAL_TIMES_REQUIRE_PORTAL_LOGIN,NOT_ASSESSED_WITH_COMPLETE_TIMING_INPUTS,False
J0835-4510,J0835-4510,['B0833-45'],True,False,True,False,True,False,2021-04-01T09:56:27+00:00,2023-06-28T04:15:21+00:00,818,817.763125,268,,,False,EXCLUDED_SPAN_BELOW_1200_DAYS,ARRIVAL_TIMES_REQUIRE_PORTAL_LOGIN,NOT_ASSESSED_WITH_COMPLETE_TIMING_INPUTS,False
J0837+0610,J0837+0610,['B0834+06'],True,False,True,True,True,True,2021-06-09T05:29:12+00:00,2023-06-29T04:10:29+00:00,750,749.9453356481481,123,,,False,EXCLUDED_SPAN_BELOW_1200_DAYS,ARRIVAL_TIMES_REQUIRE_PORTAL_LOGIN,NOT_ASSESSED_WITH_COMPLETE_TIMING_INPUTS,False
J0837-4135,J0837-4135,['B0835-41'],True,False,True,True,True,True,2021-07-14T03:12:09+00:00,2023-06-30T04:09:28+00:00,717,716.0398032407408,131,,,False,EXCLUDED_SPAN_BELOW_1200_DAYS,ARRIVAL_TIMES_REQUIRE_PORTAL_LOGIN,NOT_ASSESSED_WITH_COMPLETE_TIMING_INPUTS,False
J0846-3533,J0846-3533,['B0844-35'],True,False,True,True,True,False,2021-06-04T05:55:48+00:00,2023-06-30T04:15:23+00:00,756,755.9302662037037,420,,,False,EXCLUDED_SPAN_BELOW_1200_DAYS,ARRIVAL_TIMES_REQUIRE_PORTAL_LOGIN,NOT_ASSESSED_WITH_COMPLETE_TIMING_INPUTS,False
J0855-3331,J0855-3331,['B0853-33'],True,False,True,True,True,False,2021-07-10T03:45:35+00:00,2023-06-30T04:24:04+00:00,721,720.026724537037,372,,,False,EXCLUDED_SPAN_BELOW_1200_DAYS,ARRIVAL_TIMES_REQUIRE_PORTAL_LOGIN,NOT_ASSESSED_WITH_COMPLETE_TIMING_INPUTS,False
J0905-5127,J0905-5127,[],True,False,True,True,False,False,2021-07-10T03:55:46+00:00,2023-06-29T04:39:02+00:00,720,719.0300462962963,106,,,False,EXCLUDED_SPAN_BELOW_1200_DAYS,ARRIVAL_TIMES_REQUIRE_PORTAL_LOGIN,NOT_ASSESSED_WITH_COMPLETE_TIMING_INPUTS,False
J0907-5157,J0907-5157,['B0905-51'],True,False,True,True,True,True,2021-06-03T06:20:20+00:00,2023-06-30T04:37:19+00:00,757,756.9284606481482,132,,,False,EXCLUDED_SPAN_BELOW_1200_DAYS,ARRIVAL_TIMES_REQUIRE_PORTAL_LOGIN,NOT_ASSESSED_WITH_COMPLETE_TIMING_INPUTS,False
J0908-1739,J0908-1739,['B0906-17'],True,False,True,False,True,False,2021-06-09T05:58:28+00:00,2023-06-27T04:49:00+00:00,748,747.9517592592592,104,,,False,EXCLUDED_SPAN_BELOW_1200_DAYS,ARRIVAL_TIMES_REQUIRE_PORTAL_LOGIN,NOT_ASSESSED_WITH_COMPLETE_TIMING_INPUTS,False
J0908-4913,J0908-4913,['B0906-49'],True,False,True,True,True,True,2021-04-22T09:06:58+00:00,2023-06-28T04:46:31+00:00,797,796.8191319444444,114,,,False,EXCLUDED_SPAN_BELOW_1200_DAYS,ARRIVAL_TIMES_REQUIRE_PORTAL_LOGIN,NOT_ASSESSED_WITH_COMPLETE_TIMING_INPUTS,False
J0922+0638,J0922+0638,['B0919+06'],True,False,True,False,True,False,2021-06-03T06:36:39+00:00,2023-06-30T04:51:04+00:00,757,756.9266782407408,424,,,False,EXCLUDED_SPAN_BELOW_1200_DAYS,ARRIVAL_TIMES_REQUIRE_PORTAL_LOGIN,NOT_ASSESSED_WITH_COMPLETE_TIMING_INPUTS,False
J0934-5249,J0934-5249,['B0932-52'],True,False,True,False,True,False,2021-06-05T06:41:58+00:00,2023-06-30T05:04:27+00:00,755,754.9322800925926,428,,,False,EXCLUDED_SPAN_BELOW_1200_DAYS,ARRIVAL_TIMES_REQUIRE_PORTAL_LOGIN,NOT_ASSESSED_WITH_COMPLETE_TIMING_INPUTS,False
J0942-5552,J0942-5552,['B0940-55'],True,False,True,False,True,False,2021-04-22T09:40:24+00:00,2023-06-29T05:16:09+00:00,798,797.8164930555556,243,,,False,EXCLUDED_SPAN_BELOW_1200_DAYS,ARRIVAL_TIMES_REQUIRE_PORTAL_LOGIN,NOT_ASSESSED_WITH_COMPLETE_TIMING_INPUTS,False
